CBANK,FREQ,P3,P2,P1,P0
0,6750978327.13,-0.0004,0.003,0.0007,0.9986
1,6755767164.31,-0.0004,0.003,0.0007,0.9986
2,6760147285.03,-0.0004,0.003,0.0007,0.9986
3,6764987653.17,-0.0004,0.003,0.0007,0.9986
4,6768187606.7,-0.0004,0.003,0.0007,0.9986
5,6773024806.83,-0.0004,0.003,0.0007,0.9986
6,6777457673.61,-0.0004,0.003,0.0007,0.9986
7,6782332081.82,-0.0004,0.003,0.0007,0.9986
8,6803996152.67,-0.0004,0.003,0.0007,0.9986
9,6808911035.6,-0.0004,0.003,0.0007,0.9986
10,6813410086.27,-0.0004,0.003,0.0007,0.9986
11,6818366534.26,-0.0004,0.003,0.0007,0.9986
12,6821648841.37,-0.0004,0.003,0.0007,0.9986
13,6826605414.23,-0.0004,0.003,0.0007,0.9986
14,6831155837.67,-0.0004,0.0031,0.0007,0.9986
15,6836151145.4,-0.0004,0.0031,0.0007,0.9986
16,6858509463.18,-0.0004,0.0031,0.0007,0.9986
17,6863553367.96,-0.0004,0.0031,0.0007,0.9986
18,6868168562.34,-0.0004,0.0031,0.0007,0.9986
19,6873251880.74,-0.0004,0.0031,0.0007,0.9986
20,6876617608.27,-0.0004,0.0031,0.0007,0.9986
21,6881693802.09,-0.0004,0.0031,0.0007,0.9986
22,6886356189.1,-0.0004,0.0031,0.0007,0.9986
23,6891479430.81,-0.0004,0.0031,0.0007,0.9986
24,6913991778.47,-0.0004,0.0031,0.0007,0.9985
25,6919152488.92,-0.0004,0.0031,0.0007,0.9985
26,6923891621.7,-0.0004,0.0031,0.0007,0.9985
27,6929104731.64,-0.0004,0.0032,0.0007,0.9985
28,6932549847.88,-0.0004,0.0032,0.0007,0.9985
29,6937757602.1,-0.0004,0.0032,0.0007,0.9985
30,6942544221.11,-0.0004,0.0032,0.0007,0.9985
31,6947793954.61,-0.0004,0.0032,0.0007,0.9985
32,6965881846.26,-0.0004,0.0032,0.0008,0.9985
33,6971173428.74,-0.0004,0.0032,0.0008,0.9985
34,6976020339.86,-0.0004,0.0032,0.0008,0.9985
35,6981357220.2,-0.0004,0.0032,0.0008,0.9985
36,6984872242.29,-0.0004,0.0032,0.0008,0.9985
37,6990206401.39,-0.0004,0.0032,0.0008,0.9985
38,6995109377.93,-0.0004,0.0032,0.0008,0.9985
39,7000489746.42,-0.0004,0.0032,0.0008,0.9985
40,7022500656.86,-0.0005,0.0033,0.0008,0.9985
41,7027918469.81,-0.0005,0.0033,0.0008,0.9985
42,7032887540.97,-0.0005,0.0033,0.0008,0.9985
43,7038356042.84,-0.0005,0.0033,0.0008,0.9985
44,7041954030.69,-0.0005,0.0033,0.0008,0.9985
45,7047415395.49,-0.0005,0.0033,0.0008,0.9985
46,7052443087.09,-0.0005,0.0033,0.0008,0.9985
47,7057956093.05,-0.0005,0.0033,0.0008,0.9985
48,7081491613.04,-0.0005,0.0033,0.0008,0.9984
49,7087056061.4,-0.0005,0.0033,0.0008,0.9984
50,7092153385.5,-0.0005,0.0033,0.0008,0.9984
51,7097771311.74,-0.0005,0.0033,0.0008,0.9984
52,7101458382.65,-0.0005,0.0033,0.0008,0.9984
53,7107064563.88,-0.0005,0.0033,0.0008,0.9984
54,7112222720.51,-0.0005,0.0034,0.0008,0.9984
55,7117882790.1,-0.0005,0.0034,0.0008,0.9984
56,7140620719.17,-0.0005,0.0034,0.0008,0.9984
57,7146326104.95,-0.0005,0.0034,0.0008,0.9984
58,7151563162.11,-0.0005,0.0034,0.0008,0.9984
59,7157322423.34,-0.0005,0.0034,0.0008,0.9984
60,7161099632.18,-0.0005,0.0034,0.0008,0.9984
61,7166846801.56,-0.0005,0.0034,0.0008,0.9984
62,7172139652.15,-0.0005,0.0034,0.0008,0.9984
63,7177944432.14,-0.0005,0.0034,0.0008,0.9984
64,7150194847.07,-0.0005,0.0035,0.0008,0.9984
65,7155895967.24,-0.0005,0.0035,0.0008,0.9984
66,7161105742.66,-0.0005,0.0035,0.0008,0.9984
67,7166862467.91,-0.0005,0.0035,0.0008,0.9984
68,7170586858.97,-0.0005,0.0035,0.0008,0.9984
69,7176339743.27,-0.0005,0.0035,0.0008,0.9984
70,7181610999.48,-0.0005,0.0035,0.0008,0.9984
71,7187418526.95,-0.0005,0.0035,0.0008,0.9984
72,7211681815.11,-0.0005,0.0035,0.0008,0.9984
73,7217528945.79,-0.0005,0.0035,0.0008,0.9983
74,7222882804.6,-0.0005,0.0036,0.0008,0.9983
75,7228784124.66,-0.0005,0.0036,0.0009,0.9983
76,7232616268.44,-0.0005,0.0036,0.0009,0.9983
77,7238513245.55,-0.0005,0.0036,0.0009,0.9983
78,7243929097.57,-0.0005,0.0036,0.0008,0.9983
79,7249885486.81,-0.0005,0.0036,0.0008,0.9983
80,7274802976.83,-0.0005,0.0036,0.0009,0.9983
81,7280803690.73,-0.0005,0.0036,0.0009,0.9983
82,7286303745.6,-0.0006,0.0036,0.0009,0.9983
83,7292362459.96,-0.0006,0.0036,0.0009,0.9983
84,7296284914.39,-0.0006,0.0036,0.0009,0.9983
85,7302343276.39,-0.0006,0.0036,0.0009,0.9983
86,7307911610.3,-0.0006,0.0037,0.0009,0.9983
87,7314021034.39,-0.0006,0.0037,0.0009,0.9983
88,7339072330.78,-0.0006,0.0037,0.0009,0.9983
89,7345233468.32,-0.0006,0.0037,0.0009,0.9983
90,7350870862.97,-0.0006,0.0037,0.0009,0.9983
91,7357091679.14,-0.0006,0.0037,0.0009,0.9983
92,7361106211.67,-0.0006,0.0037,0.0009,0.9983
93,7367316874.35,-0.0006,0.0037,0.0009,0.9983
94,7373030944.76,-0.0006,0.0037,0.0009,0.9983
95,7379307741.22,-0.0006,0.0037,0.0009,0.9983
96,7399507345.7,-0.0006,0.0038,0.0009,0.9982
97,7405825073.47,-0.0006,0.0038,0.0009,0.9982
98,7411605848.94,-0.0006,0.0038,0.0009,0.9982
99,7417980580.36,-0.0006,0.0038,0.0009,0.9982
100,7422070701.65,-0.0006,0.0038,0.0009,0.9982
