CBANK,FREQ,P3,P2,P1,P0
0,7634738594.10694,-0.0006,0.0032,0.001,0.9984
1,7641352250.81583,-0.0006,0.0032,0.001,0.9984
2,7647984352.30241,-0.0006,0.0032,0.001,0.9984
3,7654633307.03052,-0.0006,0.0032,0.001,0.9984
4,7661302400.93618,-0.0006,0.0033,0.001,0.9984
5,7667985626.93442,-0.0006,0.0033,0.001,0.9984
6,7674687487.80593,-0.0006,0.0033,0.001,0.9984
7,7681405750.77002,-0.0006,0.0033,0.001,0.9984
8,7688556396.15689,-0.0006,0.0033,0.001,0.9984
9,7695310838.76318,-0.0006,0.0033,0.001,0.9984
10,7702084860.23127,-0.0006,0.0033,0.001,0.9984
11,7708874871.05094,-0.0006,0.0033,0.001,0.9984
12,7715687437.41685,-0.0006,0.0033,0.001,0.9983
13,7722514238.16021,-0.0006,0.0033,0.001,0.9983
14,7729359740.18678,-0.0006,0.0034,0.001,0.9983
15,7736222525.35098,-0.0006,0.0034,0.001,0.9983
16,7744488338.42608,-0.0006,0.0034,0.001,0.9983
17,7751392807.85499,-0.0006,0.0034,0.001,0.9983
18,7758316055.71778,-0.0006,0.0034,0.001,0.9983
19,7765256641.46667,-0.0006,0.0034,0.001,0.9983
20,7772219641.56179,-0.0006,0.0034,0.001,0.9983
21,7779197066.81384,-0.0006,0.0034,0.001,0.9983
22,7786195519.42848,-0.0006,0.0034,0.001,0.9983
23,7793211349.16784,-0.0006,0.0034,0.001,0.9983
24,7800696517.54832,-0.0006,0.0034,0.001,0.9983
25,7807751109.13575,-0.0006,0.0035,0.001,0.9983
26,7814827407.36982,-0.0006,0.0035,0.001,0.9983
27,7821920509.6017,-0.0006,0.0035,0.001,0.9983
28,7829037036.60912,-0.0006,0.0035,0.001,0.9983
29,7836169231.87353,-0.0006,0.0035,0.001,0.9983
30,7843322073.42389,-0.0006,0.0035,0.001,0.9983
31,7850493162.18122,-0.0006,0.0035,0.001,0.9983
32,7859113148.07875,-0.0007,0.0035,0.0011,0.9983
33,7866328037.14925,-0.0007,0.0035,0.0011,0.9983
34,7873564002.51182,-0.0007,0.0035,0.0011,0.9983
35,7880819428.50552,-0.0007,0.0035,0.0011,0.9983
36,7888097625.35204,-0.0007,0.0035,0.0011,0.9983
37,7895392739.93027,-0.0007,0.0035,0.0011,0.9982
38,7902708645.50111,-0.0007,0.0035,0.0011,0.9982
39,7910044730.19832,-0.0007,0.0035,0.0011,0.9982
40,7917891067.09692,-0.0007,0.0036,0.0011,0.9982
41,7925269280.64394,-0.0007,0.0036,0.0011,0.9982
42,7932668666.77359,-0.0007,0.0036,0.0011,0.9982
43,7940088057.77731,-0.0007,0.0036,0.0011,0.9982
44,7947532622.94802,-0.0007,0.0036,0.0011,0.9982
45,7954993609.75612,-0.0007,0.0036,0.0011,0.9982
46,7962477010.21877,-0.0007,0.0036,0.0011,0.9982
47,7969980247.49177,-0.0007,0.0036,0.0011,0.9982
48,7978988705.27097,-0.0007,0.0036,0.0011,0.9982
49,7986538777.62509,-0.0007,0.0036,0.0011,0.9982
50,7994112442.81411,-0.0007,0.0036,0.0011,0.9982
51,8001706275.54009,-0.0007,0.0036,0.0011,0.9982
52,8009324745.31485,-0.0007,0.0037,0.0011,0.9982
53,8016961773.76693,-0.0007,0.0037,0.0011,0.9982
54,8024621532.30466,-0.0007,0.0037,0.0011,0.9982
55,8032302178.12202,-0.0007,0.0037,0.0011,0.9982
56,8040539902.89594,-0.0007,0.0037,0.0011,0.9982
57,8048266277.79547,-0.0007,0.0037,0.0011,0.9981
58,8056015888.94519,-0.0007,0.0037,0.0011,0.9981
59,8063787295.04753,-0.0007,0.0038,0.0011,0.9981
60,8071585153.74179,-0.0007,0.0038,0.0011,0.9981
61,8079400486.65826,-0.0007,0.0038,0.0011,0.9981
62,8087240753.30909,-0.0007,0.0038,0.0011,0.9981
63,8095102584.23524,-0.0007,0.0038,0.0011,0.9981
64,8104510059.1469,-0.0007,0.0038,0.0012,0.9981
65,8112422774.21088,-0.0007,0.0038,0.0012,0.9981
66,8120359336.25602,-0.0007,0.0038,0.0012,0.9981
67,8128318586.2886,-0.0008,0.0038,0.0012,0.9981
68,8136305004.50719,-0.0008,0.0038,0.0012,0.9981
69,8144310868.33033,-0.0008,0.0038,0.0012,0.9981
70,8152342660.70426,-0.0008,0.0038,0.0012,0.9981
71,8160394968.27574,-0.0008,0.0038,0.0012,0.9981
72,8169055951.46224,-0.0008,0.0039,0.0012,0.9981
73,8177159026.50154,-0.0008,0.0039,0.0012,0.9981
74,8185287185.35275,-0.0008,0.0039,0.0012,0.9981
75,8193438093.37777,-0.0008,0.0039,0.0012,0.9981
76,8201617746.37194,-0.0008,0.0039,0.0012,0.9981
77,8209818068.19202,-0.0008,0.0039,0.0012,0.9981
78,8218043984.45067,-0.0008,0.0039,0.0012,0.9981
79,8226294279.1418,-0.0008,0.004,0.0012,0.998
80,8236154551.12151,-0.0008,0.0039,0.0012,0.998
81,8244459287.9828,-0.0008,0.0039,0.0012,0.998
82,8252789516.59716,-0.0008,0.004,0.0012,0.998
83,8261144624.61764,-0.0008,0.004,0.0012,0.998
84,8269528398.99343,-0.0008,0.004,0.0012,0.998
85,8277934112.13838,-0.0008,0.004,0.0012,0.998
86,8286366261.82923,-0.0008,0.004,0.0012,0.998
87,8294823505.2378,-0.0008,0.004,0.0012,0.998
88,8303944238.85491,-0.0008,0.0041,0.0012,0.998
89,8312455619.02048,-0.0008,0.0041,0.0013,0.998
90,8320993556.99171,-0.0008,0.0041,0.0013,0.998
91,8329556709.05282,-0.0008,0.0041,0.0013,0.998
92,8338150364.51186,-0.0009,0.0041,0.0013,0.998
93,8346766097.60935,-0.0009,0.0041,0.0013,0.998
94,8355410992.81652,-0.0009,0.0041,0.0013,0.998
95,8364079722.54768,-0.0009,0.0041,0.0013,0.998
96,8374412609.74944,-0.0009,0.0041,0.0013,0.998
97,8383142136.45323,-0.0009,0.0041,0.0013,0.9979
98,8391900013.38303,-0.0009,0.0041,0.0013,0.9979
99,8400683982.92801,-0.0009,0.0041,0.0013,0.9979
100,8409498884.41337,-0.0009,0.0041,0.0013,0.9979
101,8418338444.40924,-0.0009,0.0042,0.0013,0.9979
102,8427206295.17598,-0.0009,0.0042,0.0013,0.9979
103,8436101310.02932,-0.0009,0.0042,0.0013,0.9979
104,8445723621.52574,-0.0009,0.0042,0.0013,0.9979
105,8454677262.31937,-0.0009,0.0042,0.0013,0.9979
106,8463660440.74912,-0.0009,0.0043,0.0013,0.9979
107,8472670978.23321,-0.0009,0.0043,0.0013,0.9979
108,8481713864.98303,-0.0009,0.0043,0.0013,0.9979
109,8490781662.36891,-0.0009,0.0043,0.0013,0.9979
110,8499880367.33858,-0.0009,0.0043,0.0013,0.9979
111,8509006633.82037,-0.0009,0.0043,0.0013,0.9979
112,8519860792.36573,-0.0009,0.0043,0.0014,0.9979
113,8529052315.58499,-0.0009,0.0043,0.0014,0.9979
114,8538274513.4262,-0.0009,0.0043,0.0014,0.9978
115,8547525730.91271,-0.0009,0.0043,0.0014,0.9978
116,8556810262.5785,-0.0009,0.0043,0.0014,0.9978
117,8566121171.37549,-0.0009,0.0043,0.0014,0.9978
118,8575464005.4277,-0.0009,0.0044,0.0014,0.9978
119,8584835670.51867,-0.0009,0.0044,0.0014,0.9978
120,8595004501.89762,-0.001,0.0044,0.0014,0.9978
121,8604440781.57146,-0.001,0.0044,0.0014,0.9978
122,8613909661.33647,-0.001,0.0045,0.0014,0.9978
123,8623406846.29588,-0.001,0.0045,0.0014,0.9978
124,8632939251.73527,-0.001,0.0045,0.0014,0.9978
125,8642501063.07767,-0.001,0.0045,0.0014,0.9978
126,8652093922.0416,-0.001,0.0045,0.0014,0.9978
127,8661720050.61111,-0.001,0.0045,0.0014,0.9978
128,8673113840.72035,-0.001,0.0045,0.0014,0.9978
129,8682809988.26779,-0.001,0.0045,0.0014,0.9978
130,8692538928.75157,-0.001,0.0045,0.0014,0.9977
131,8702299310.87479,-0.001,0.0045,0.0015,0.9977
132,8712096514.87831,-0.001,0.0045,0.0015,0.9977
133,8721923124.71566,-0.001,0.0045,0.0015,0.9977
134,8731783780.96245,-0.001,0.0045,0.0015,0.9977
135,8741676536.06758,-0.001,0.0046,0.0015,0.9977
