CBANK,FREQ,P3,P2,P1,P0
0,4000043427.94,-0.0008,0.005,0.001,0.9978
1,4003042644.64,-0.0008,0.0051,0.0009,0.9978
2,4006341680.8,-0.0005,0.0042,0.0018,0.9976
3,4009411590.81,-0.0008,0.005,0.001,0.9978
4,4013306662.03,-0.0008,0.0051,0.0009,0.9979
5,4016318861.52,-0.0006,0.0048,0.0012,0.9976
6,4019722714.32,-0.0008,0.0049,0.0012,0.9978
7,4022809098.75,-0.0006,0.0048,0.0012,0.9976
8,4037333393.18,-0.0015,0.0063,0.0006,0.9976
9,4040404362.14,-0.0004,0.004,0.0019,0.9976
10,4043801472.01,-0.0015,0.0063,0.0006,0.9976
11,4046942744.2,-0.0004,0.004,0.0019,0.9976
12,4051005940.7,-0.0002,0.0039,0.002,0.9976
13,4054088916.9,-0.0018,0.0066,0.0006,0.9976
14,4057591745.89,-0.0002,0.0038,0.0019,0.9976
15,4060746389.34,-0.0018,0.0068,0.0005,0.9976
16,4075959589.94,-0.001,0.0056,0.0009,0.9976
17,4079120850.04,-0.0011,0.0054,0.0014,0.9976
18,4082619026.88,-0.0007,0.0048,0.0014,0.9976
19,4085857214.01,-0.0002,0.0038,0.0021,0.9974
20,4090015992.37,-0.0015,0.0065,0.0005,0.9977
21,4093197641.14,-0.0003,0.0044,0.0017,0.9976
22,4096801150.54,-0.0011,0.0056,0.0011,0.9976
23,4100054900.2,-0.0002,0.0038,0.0021,0.9974
24,4115171892.58,-0.0019,0.0074,0.0001,0.9977
25,4118412438.05,-0.0012,0.0055,0.0015,0.9974
26,4122011928.48,-0.0003,0.0043,0.0017,0.9976
27,4125324509.55,-0.0012,0.0063,0.0005,0.9977
28,4129658300.1,-0.0003,0.0043,0.0017,0.9976
29,4132915191.89,-0.0017,0.007,0.0003,0.9977
30,4136626370.75,-0.0004,0.0045,0.0017,0.9974
31,4139954758.61,-0.0008,0.0052,0.0015,0.9974
32,4152761755.37,-0.0008,0.0052,0.0015,0.9974
33,4156118275.53,-0.0008,0.0052,0.0015,0.9974
34,4159817960.24,-0.0008,0.0052,0.0015,0.9974
35,4163253908.29,-0.0008,0.0054,0.0013,0.9975
36,4167656528.7,-0.0008,0.0052,0.0015,0.9974
37,4171036372.41,-0.0008,0.0052,0.0015,0.9974
38,4174854063.39,-0.0013,0.0062,0.0009,0.9975
