CBANK,FREQ,P3,P2,P1,P0
0,4407032077.95243,-0.0011,0.0055,0.0015,0.9974
1,4411791726.44187,-0.0011,0.0055,0.0015,0.9974
2,4416567537.05957,-0.0011,0.0055,0.0015,0.9974
3,4421358110.16943,-0.0011,0.0055,0.0015,0.9974
4,4426164881.09145,-0.0011,0.0055,0.0015,0.9974
5,4430986690.12807,-0.0011,0.0056,0.0015,0.9973
6,4435824417.21707,-0.0011,0.0056,0.0015,0.9973
7,4440677817.7431,-0.0011,0.0056,0.0015,0.9973
8,4445755504.01187,-0.0012,0.0057,0.0015,0.9973
9,4450641344.72646,-0.0012,0.0057,0.0015,0.9973
10,4455543412.83698,-0.0012,0.0057,0.0016,0.9973
11,4460461293.89175,-0.0012,0.0057,0.0016,0.9973
12,4465395126.12426,-0.0012,0.0057,0.0016,0.9973
13,4470345758.69412,-0.0012,0.0057,0.0016,0.9973
14,4475312933.72906,-0.0012,0.0057,0.0016,0.9973
15,4480296334.87242,-0.0012,0.0058,0.0016,0.9973
16,4485589460.38848,-0.0012,0.0057,0.0016,0.9973
17,4490607554.45126,-0.0012,0.0057,0.0016,0.9972
18,4495643619.35754,-0.0012,0.0058,0.0016,0.9972
19,4500695086.64007,-0.0012,0.0058,0.0016,0.9972
20,4505764277.97946,-0.0012,0.0058,0.0016,0.9972
21,4510851141.32588,-0.0012,0.0058,0.0016,0.9972
22,4515954090.8174,-0.0012,0.0058,0.0016,0.9972
23,4521074518.9448,-0.0012,0.0058,0.0016,0.9972
24,4526439670.24292,-0.0012,0.0059,0.0016,0.9972
25,4531595632.54418,-0.0013,0.0059,0.0016,0.9972
26,4536768955.96974,-0.0013,0.0059,0.0016,0.9972
27,4541960411.0308,-0.0013,0.006,0.0016,0.9972
28,4547169351.17748,-0.0013,0.006,0.0016,0.9972
29,4552396396.26426,-0.0013,0.006,0.0016,0.9972
30,4557641190.37022,-0.0013,0.006,0.0016,0.9972
31,4562903873.97419,-0.0013,0.006,0.0017,0.9971
32,4568484479.68953,-0.0013,0.006,0.0017,0.9971
33,4573785531.60234,-0.0013,0.006,0.0017,0.9971
34,4579105987.92688,-0.0013,0.006,0.0017,0.9971
35,4584443508.1736,-0.0013,0.006,0.0017,0.9971
36,4589800745.93021,-0.0013,0.0061,0.0017,0.9971
37,4595176578.68194,-0.0013,0.0061,0.0017,0.9971
38,4600570451.47217,-0.0013,0.0061,0.0017,0.9971
39,4605984550.50392,-0.0013,0.0061,0.0017,0.9971
40,4611663412.28527,-0.0013,0.0062,0.0017,0.9971
41,4617115014.26037,-0.0013,0.0062,0.0017,0.997
42,4622586823.78943,-0.0013,0.0062,0.0017,0.997
43,4628076687.13485,-0.0013,0.0062,0.0017,0.997
44,4633587883.46091,-0.0014,0.0063,0.0017,0.997
45,4639117625.18852,-0.0014,0.0063,0.0017,0.997
46,4644667320.168,-0.0014,0.0063,0.0017,0.997
47,4650236451.29033,-0.0014,0.0063,0.0018,0.997
48,4656135879.34283,-0.0014,0.0063,0.0018,0.997
49,4661747387.06259,-0.0014,0.0063,0.0018,0.997
50,4667379444.68645,-0.0014,0.0063,0.0018,0.997
51,4673032104.65672,-0.0014,0.0063,0.0018,0.997
52,4678704420.73718,-0.0014,0.0063,0.0018,0.997
53,4684398480.12722,-0.0014,0.0064,0.0018,0.9969
54,4690112040.23556,-0.0014,0.0064,0.0018,0.9969
55,4695847251.40503,-0.0014,0.0064,0.0018,0.9969
56,4701872874.78061,-0.0014,0.0065,0.0018,0.9969
57,4707650410.59974,-0.0014,0.0065,0.0018,0.9969
58,4713449350.02455,-0.0014,0.0065,0.0018,0.9969
59,4719269494.5039,-0.0014,0.0065,0.0018,0.9969
60,4725111510.13149,-0.0015,0.0066,0.0018,0.9969
61,4730974838.10524,-0.0015,0.0066,0.0019,0.9969
62,4736859346.42426,-0.0015,0.0066,0.0019,0.9969
63,4742766750.97252,-0.0015,0.0066,0.0019,0.9969
64,4749009659.71139,-0.0015,0.0066,0.0019,0.9968
65,4754963959.24243,-0.0015,0.0066,0.0019,0.9968
66,4760939222.87177,-0.0015,0.0066,0.0019,0.9968
67,4766938124.03166,-0.0015,0.0066,0.0019,0.9968
68,4772959326.11903,-0.0015,0.0066,0.0019,0.9968
69,4779002488.70984,-0.0015,0.0067,0.0019,0.9968
70,4785069594.2095,-0.0015,0.0067,0.0019,0.9968
71,4791159089.82118,-0.0015,0.0067,0.0019,0.9968
72,4797567678.8229,-0.0015,0.0068,0.002,0.9967
73,4803704718.54496,-0.0015,0.0068,0.002,0.9967
74,4809865059.48488,-0.0015,0.0068,0.002,0.9967
75,4816049029.97872,-0.0016,0.0069,0.002,0.9967
76,4822257241.45341,-0.0016,0.0069,0.002,0.9967
77,4828488781.08154,-0.0016,0.0069,0.002,0.9967
78,4834744819.35532,-0.0016,0.0069,0.002,0.9967
79,4841024587.61887,-0.0016,0.0069,0.002,0.9967
80,4847653750.77957,-0.0016,0.0069,0.002,0.9967
81,4853985302.985,-0.0016,0.0069,0.002,0.9967
82,4860341767.67881,-0.0016,0.0069,0.002,0.9967
83,4866723591.72647,-0.0016,0.007,0.0021,0.9966
84,4873130264.84995,-0.0016,0.007,0.0021,0.9966
85,4879561776.52476,-0.0016,0.007,0.0021,0.9966
86,4886018046.63792,-0.0016,0.007,0.0021,0.9966
87,4892500613.7085,-0.0016,0.007,0.0021,0.9966
88,4899334258.74061,-0.0017,0.0071,0.0021,0.9966
89,4905870935.66777,-0.0017,0.0072,0.0021,0.9966
90,4912431329.50587,-0.0017,0.0072,0.0021,0.9966
91,4919017769.12712,-0.0017,0.0072,0.0021,0.9965
92,4925632826.18701,-0.0017,0.0072,0.0021,0.9965
93,4932274211.94644,-0.0017,0.0072,0.0021,0.9965
94,4938940251.59038,-0.0017,0.0073,0.0021,0.9965
95,4945633656.9538,-0.0017,0.0073,0.0021,0.9965
96,4952684277.72899,-0.0017,0.0072,0.0022,0.9965
97,4959435722.54888,-0.0017,0.0073,0.0022,0.9965
98,4966214816.43019,-0.0017,0.0073,0.0022,0.9965
99,4973021793.79048,-0.0017,0.0073,0.0022,0.9965
100,4979856607.78194,-0.0017,0.0073,0.0022,0.9965
101,4986718564.90749,-0.0017,0.0073,0.0022,0.9964
102,4993610631.03032,-0.0017,0.0074,0.0022,0.9964
103,5000529871.63871,-0.0017,0.0074,0.0022,0.9964
104,5007836554.78866,-0.0018,0.0075,0.0022,0.9964
105,5014815711.85112,-0.0018,0.0075,0.0022,0.9964
106,5021822335.81415,-0.0018,0.0075,0.0022,0.9964
107,5028859544.34013,-0.0018,0.0076,0.0022,0.9964
108,5035926085.00013,-0.0018,0.0076,0.0022,0.9963
109,5043021899.07336,-0.0018,0.0076,0.0022,0.9963
110,5050147742.68761,-0.0018,0.0076,0.0022,0.9963
111,5057304663.17532,-0.0018,0.0077,0.0023,0.9963
112,5064821718.15278,-0.0018,0.0076,0.0023,0.9963
113,5072042408.62855,-0.0018,0.0076,0.0023,0.9963
114,5079292525.10838,-0.0018,0.0076,0.0023,0.9963
115,5086574028.19295,-0.0018,0.0077,0.0023,0.9963
116,5093888303.1467,-0.0018,0.0077,0.0023,0.9963
