CBANK,FREQ,P3,P2,P1,P0
0,4076000000,-0.0008,0.005,0.001,0.9978
1,4079000000,-0.0008,0.0051,0.0009,0.9978
2,4083000000,-0.0005,0.0042,0.0018,0.9976
3,4086000000,-0.0008,0.005,0.001,0.9978
4,4090000000,-0.0008,0.0051,0.0009,0.9979
5,4094000000,-0.0006,0.0048,0.0012,0.9976
6,4097000000,-0.0008,0.0049,0.0012,0.9978
7,4101000000,-0.0006,0.0048,0.0012,0.9976
8,4114000000,-0.0015,0.0063,0.0006,0.9976
9,4117000000,-0.0004,0.004,0.0019,0.9976
10,4121000000,-0.0015,0.0063,0.0006,0.9976
11,4124000000,-0.0004,0.004,0.0019,0.9976
12,4128000000,-0.0002,0.0039,0.002,0.9976
13,4132000000,-0.0018,0.0066,0.0006,0.9976
14,4135000000,-0.0002,0.0038,0.0019,0.9976
15,4139000000,-0.0018,0.0068,0.0005,0.9976
16,4152000000,-0.001,0.0056,0.0009,0.9976
17,4155000000,-0.0011,0.0054,0.0014,0.9976
18,4159000000,-0.0007,0.0048,0.0014,0.9976
19,4163000000,-0.0002,0.0038,0.0021,0.9974
20,4167000000,-0.0015,0.0065,0.0005,0.9977
21,4170000000,-0.0003,0.0044,0.0017,0.9976
22,4174000000,-0.0011,0.0056,0.0011,0.9976
23,4178000000,-0.0002,0.0038,0.0021,0.9974
24,4191000000,-0.0019,0.0074,0.0001,0.9977
25,4195000000,-0.0012,0.0055,0.0015,0.9974
26,4198000000,-0.0003,0.0043,0.0017,0.9976
27,4202000000,-0.0012,0.0063,0.0005,0.9977
28,4206000000,-0.0003,0.0043,0.0017,0.9976
29,4210000000,-0.0017,0.007,0.0003,0.9977
30,4214000000,-0.0004,0.0045,0.0017,0.9974
31,4218000000,-0.0008,0.0052,0.0015,0.9974
32,4230000000,-0.0008,0.0052,0.0015,0.9974
33,4234000000,-0.0008,0.0052,0.0015,0.9974
34,4238000000,-0.0008,0.0052,0.0015,0.9974
35,4241000000,-0.0008,0.0054,0.0013,0.9975
36,4246000000,-0.0008,0.0052,0.0015,0.9974
37,4250000000,-0.0008,0.0052,0.0015,0.9974
38,4254000000,-0.0013,0.0062,0.0009,0.9975
39,4257000000,-0.0008,0.0053,0.0015,0.9975
40,4271000000,-0.0015,0.0066,0.0009,0.9975
41,4275000000,-0.001,0.0057,0.0012,0.9975
42,4279000000,-0.0015,0.0066,0.0009,0.9975
43,4283000000,-0.0005,0.0049,0.0015,0.9974
44,4287000000,-0.0011,0.0056,0.0015,0.9975
45,4291000000,-0.0018,0.0069,0.0008,0.9975
46,4295000000,-0.0015,0.0063,0.0012,0.9975
47,4299000000,-0.0018,0.0069,0.0008,0.9975
48,4313000000,-0.0007,0.0048,0.0021,0.9972
49,4317000000,-0.0007,0.0048,0.0021,0.9972
50,4321000000,0,0.0039,0.0022,0.9973
51,4325000000,0,0.0037,0.0024,0.9972
52,4330000000,-0.001,0.0057,0.0015,0.9973
53,4334000000,-0.001,0.0057,0.0015,0.9973
54,4338000000,-0.0005,0.0049,0.0019,0.9973
55,4342000000,-0.0005,0.0049,0.0019,0.9973
56,4356000000,-0.0014,0.0065,0.0011,0.9973
57,4360000000,-0.0014,0.0066,0.0011,0.9973
58,4364000000,-0.0005,0.0047,0.002,0.9973
59,4368000000,-0.0009,0.0055,0.0018,0.9973
60,4373000000,-0.001,0.0058,0.0016,0.9973
61,4377000000,-0.0009,0.0055,0.0018,0.9973
62,4382000000,-0.0014,0.0065,0.0011,0.9973
63,4386000000,-0.0018,0.0072,0.0008,0.9973
64,4388000000,-0.0007,0.0049,0.0021,0.9971
65,4392000000,-0.0003,0.0046,0.0022,0.9971
66,4396000000,-0.0019,0.0075,0.0007,0.9973
67,4400000000,-0.0015,0.0066,0.0012,0.9973
68,4405000000,-0.0019,0.0072,0.001,0.9973
69,4409000000,-0.0011,0.0062,0.0013,0.9973
70,4414000000,-0.0003,0.0046,0.0021,0.9971
71,4418000000,-0.0018,0.0075,0.0007,0.9973
72,4433000000,-0.0015,0.0069,0.0011,0.9973
73,4438000000,-0.0009,0.0054,0.0019,0.9971
74,4442000000,-0.0012,0.0063,0.0015,0.9972
75,4447000000,-0.0015,0.0068,0.0012,0.9971
76,4452000000,-0.0009,0.006,0.0014,0.9971
77,4456000000,-0.0012,0.0061,0.0017,0.9971
78,4460000000,-0.0013,0.0068,0.001,0.9973
79,4465000000,-0.0012,0.0061,0.0017,0.9971
80,4480000000,-0.001,0.006,0.0017,0.9971
81,4485000000,-0.0014,0.0065,0.0016,0.997
82,4489000000,-0.001,0.006,0.0017,0.9971
83,4494000000,-0.0014,0.0066,0.0015,0.997
84,4499000000,-0.001,0.0061,0.0015,0.9971
85,4503000000,-0.0014,0.0067,0.0014,0.9972
86,4508000000,-0.001,0.006,0.0017,0.9971
87,4513000000,-0.0012,0.0064,0.0016,0.9969
88,4528000000,-0.0011,0.0065,0.0014,0.9971
89,4533000000,-0.0015,0.0066,0.0017,0.9969
90,4538000000,-0.0012,0.0063,0.0016,0.9969
91,4542000000,-0.0009,0.0059,0.0019,0.997
92,4548000000,-0.0014,0.0066,0.0016,0.9969
93,4552000000,-0.0013,0.0066,0.0017,0.997
94,4557000000,-0.0009,0.0058,0.0021,0.9969
95,4562000000,-0.0016,0.0073,0.0012,0.997
96,4576000000,-0.0016,0.0073,0.0012,0.997
97,4581000000,-0.0013,0.0064,0.0019,0.9968
98,4586000000,-0.0018,0.0074,0.0015,0.9968
99,4590000000,-0.0015,0.0071,0.0015,0.997
100,4596000000,-0.0016,0.0072,0.0012,0.997
101,4601000000,-0.0018,0.0073,0.0015,0.9968
102,4606000000,-0.0018,0.0073,0.0015,0.9968
103,4610000000,-0.0018,0.0074,0.0015,0.997
104,4627000000,-0.0011,0.0062,0.002,0.9967
105,4631000000,-0.0011,0.0063,0.0019,0.997
106,4636000000,-0.0011,0.0064,0.0018,0.997
107,4641000000,-0.0004,0.005,0.0027,0.9968
108,4647000000,-0.0009,0.0061,0.0021,0.9968
109,4652000000,-0.0012,0.0067,0.0017,0.9969
110,4657000000,-0.0009,0.0062,0.002,0.9968
111,4662000000,-0.0012,0.0068,0.0016,0.9969
112,4678000000,-0.0021,0.0083,0.0011,0.9968
113,4683000000,-0.0023,0.0086,0.0011,0.9968
114,4688000000,-0.0014,0.0069,0.0019,0.9968
115,4693000000,-0.0018,0.0076,0.0015,0.9969
116,4700000000,-0.0018,0.0076,0.0016,0.9967
117,4705000000,-0.0018,0.0076,0.0016,0.9967
118,4710000000,-0.0007,0.0058,0.0024,0.9967
119,4715000000,-0.0007,0.0057,0.0024,0.9967
120,4731000000,-0.0018,0.0077,0.0017,0.9967
121,4736000000,-0.0012,0.0067,0.0021,0.9967
122,4742000000,-0.0015,0.0072,0.0018,0.9966
123,4747000000,-0.0015,0.0072,0.0019,0.9966
124,4753000000,-0.0015,0.0073,0.0018,0.9967
125,4758000000,-0.0013,0.0069,0.0021,0.9967
126,4764000000,-0.0009,0.0062,0.0023,0.9966
127,4769000000,-0.0019,0.0079,0.0015,0.9967
128,4789000000,-0.0011,0.0065,0.0023,0.9965
129,4794000000,-0.0021,0.0083,0.0017,0.9965
130,4800000000,-0.0015,0.0072,0.002,0.9965
131,4805000000,-0.0015,0.0073,0.002,0.9965
132,4812000000,-0.0018,0.0078,0.0019,0.9965
133,4817000000,-0.0019,0.0081,0.0017,0.9966
134,4823000000,-0.0014,0.0072,0.002,0.9965
135,4828000000,-0.0014,0.0071,0.0022,0.9966
136,4853000000,-0.002,0.0083,0.0016,0.9965
137,4859000000,-0.0016,0.0075,0.0021,0.9964
138,4864000000,-0.002,0.0085,0.0015,0.9966
139,4870000000,-0.002,0.0083,0.0016,0.9965
140,4877000000,-0.0013,0.0069,0.0025,0.9964
141,4883000000,-0.002,0.0084,0.0017,0.9964
142,4889000000,-0.0024,0.0092,0.0013,0.9964
143,4894000000,-0.0026,0.0095,0.0011,0.9965
144,4919000000,-0.0019,0.0081,0.002,0.9964
145,4925000000,-0.0024,0.009,0.0016,0.9964
146,4931000000,-0.0012,0.0071,0.0023,0.9964
147,4937000000,-0.0017,0.008,0.0019,0.9964
148,4944000000,-0.0012,0.0072,0.0022,0.9964
149,4950000000,-0.0017,0.008,0.002,0.9964
150,4956000000,-0.0018,0.0082,0.0019,0.9964
151,4963000000,-0.0018,0.008,0.0021,0.9962
152,4988000000,-0.0018,0.0083,0.0019,0.9963
153,4994000000,-0.0013,0.0072,0.0027,0.9962
154,5001000000,-0.0019,0.008,0.0025,0.9961
155,5007000000,-0.0017,0.0081,0.0021,0.9962
156,5014000000,-0.0022,0.0089,0.0018,0.9963
157,5021000000,-0.0019,0.0082,0.0023,0.996
158,5027000000,-0.0022,0.009,0.0017,0.9962
159,5033000000,-0.0023,0.0092,0.0017,0.9963
160,5057000000,-0.0017,0.0081,0.0023,0.9961
161,5063000000,-0.0019,0.0083,0.0023,0.9961
162,5070000000,-0.0027,0.0098,0.0017,0.9961
163,5076000000,-0.0015,0.0076,0.0027,0.9961
164,5084000000,-0.0021,0.0088,0.002,0.9961
165,5091000000,-0.0012,0.0073,0.0028,0.9959
166,5098000000,-0.0022,0.0088,0.0023,0.9959
167,5104000000,-0.0021,0.0087,0.0022,0.9961
168,5131000000,-0.0016,0.0079,0.0027,0.996
169,5138000000,-0.002,0.0087,0.0023,0.996
170,5145000000,-0.0023,0.0093,0.0021,0.996
171,5152000000,-0.0028,0.0101,0.0017,0.996
172,5160000000,-0.0028,0.0101,0.0017,0.996
173,5167000000,-0.0021,0.0087,0.0027,0.9958
174,5174000000,-0.0015,0.0078,0.003,0.9958
175,5181000000,-0.0015,0.0079,0.0029,0.9958
176,5208000000,-0.0021,0.009,0.0024,0.9958
177,5215000000,-0.0021,0.009,0.0024,0.9958
178,5223000000,-0.0016,0.0081,0.003,0.9957
179,5230000000,-0.002,0.0088,0.0027,0.9957
180,5238000000,-0.002,0.009,0.0024,0.9958
181,5246000000,-0.0024,0.0097,0.0022,0.9957
182,5253000000,-0.0015,0.0079,0.0031,0.9957
183,5260000000,-0.0015,0.008,0.003,0.9957
184,5289000000,-0.0023,0.0092,0.0027,0.9955
185,5296000000,-0.0024,0.0099,0.0021,0.9957
186,5304000000,-0.0016,0.0084,0.0029,0.9955
187,5311000000,-0.0027,0.01,0.0023,0.9957
188,5320000000,-0.0027,0.0101,0.0023,0.9956
189,5328000000,-0.0021,0.009,0.0028,0.9955
190,5336000000,-0.0025,0.0098,0.0024,0.9955
191,5343000000,-0.0024,0.0097,0.0026,0.9955
192,5339000000,-0.0023,0.0094,0.0027,0.9956
193,5347000000,-0.0022,0.0094,0.0026,0.9955
194,5355000000,-0.0022,0.0096,0.0024,0.9955
195,5362000000,-0.0026,0.0102,0.0023,0.9956
196,5371000000,-0.0023,0.0097,0.0026,0.9956
197,5379000000,-0.0025,0.0102,0.0023,0.9956
198,5387000000,-0.0019,0.0089,0.0031,0.9955
199,5395000000,-0.0024,0.0097,0.0027,0.9955
200,5428000000,-0.0019,0.0089,0.0033,0.9953
201,5436000000,-0.0019,0.0088,0.0033,0.9953
202,5444000000,-0.0026,0.0104,0.0025,0.9954
203,5452000000,-0.0024,0.0099,0.0029,0.9953
204,5462000000,-0.0022,0.0098,0.0028,0.9953
205,5470000000,-0.0025,0.0101,0.0028,0.9953
206,5478000000,-0.0021,0.0097,0.0028,0.9953
207,5486000000,-0.0018,0.0089,0.0032,0.9953
208,5520000000,-0.0025,0.0102,0.0028,0.9952
209,5528000000,-0.0021,0.0096,0.0032,0.9952
210,5537000000,-0.0023,0.01,0.0029,0.9952
211,5545000000,-0.0024,0.0102,0.0029,0.9952
212,5556000000,-0.0024,0.0101,0.0031,0.995
213,5564000000,-0.002,0.0097,0.003,0.9952
214,5573000000,-0.0018,0.009,0.0036,0.995
215,5582000000,-0.0026,0.0106,0.0028,0.9951
216,5616000000,-0.0033,0.0119,0.0023,0.9951
217,5625000000,-0.0033,0.0117,0.0025,0.9951
218,5634000000,-0.0027,0.011,0.0027,0.995
219,5643000000,-0.0021,0.0098,0.0035,0.9949
220,5654000000,-0.0024,0.0103,0.0032,0.9949
221,5663000000,-0.0024,0.0103,0.0032,0.9949
222,5672000000,-0.0026,0.0108,0.003,0.995
223,5681000000,-0.0026,0.0108,0.003,0.995
224,5712000000,-0.0021,0.0097,0.0037,0.9948
225,5722000000,-0.0027,0.0111,0.0029,0.9948
226,5731000000,-0.0023,0.0104,0.0033,0.9948
227,5741000000,-0.0026,0.0105,0.0036,0.9946
228,5752000000,-0.003,0.0116,0.0028,0.9948
229,5762000000,-0.0026,0.0109,0.0033,0.9947
230,5772000000,-0.0026,0.0109,0.0033,0.9947
231,5781000000,-0.0022,0.0102,0.0036,0.9947
232,5818000000,-0.0033,0.0122,0.0028,0.9947
233,5828000000,-0.003,0.0114,0.0035,0.9945
234,5838000000,-0.0021,0.0102,0.0038,0.9946
235,5848000000,-0.0024,0.0107,0.0037,0.9946
236,5860000000,-0.0027,0.0112,0.0035,0.9946
237,5871000000,-0.0029,0.0115,0.0035,0.9944
238,5881000000,-0.0031,0.0119,0.0032,0.9945
239,5891000000,-0.0022,0.0104,0.0038,0.9945
240,5929000000,-0.0023,0.0103,0.0042,0.9943
241,5939000000,-0.0028,0.0114,0.0036,0.9944
242,5950000000,-0.0028,0.0113,0.0038,0.9943
243,5961000000,-0.0029,0.0116,0.0038,0.9942
244,5973000000,-0.0029,0.0118,0.0035,0.9944
245,5984000000,-0.0036,0.013,0.003,0.9944
246,5995000000,-0.0025,0.0111,0.004,0.9942
247,6006000000,-0.0029,0.0117,0.0036,0.9943
248,6045000000,-0.0027,0.0114,0.0039,0.9941
249,6056000000,-0.0033,0.0125,0.0035,0.9941
250,6067000000,-0.0027,0.0115,0.004,0.9941
251,6079000000,-0.0026,0.0111,0.0043,0.994
252,6092000000,-0.0029,0.0118,0.0039,0.9941
253,6104000000,-0.0027,0.0116,0.004,0.994
254,6115000000,-0.003,0.0123,0.0037,0.9941
255,6127000000,-0.003,0.0123,0.0037,0.994
