CBANK,FREQ,P3,P2,P1,P0
0,5680714278.08,-0.0005,0.0031,0.0005,0.9987
1,5684374039.22,-0.0005,0.0031,0.0005,0.9987
2,5688455287.74,-0.0004,0.0027,0.0009,0.9987
3,5692212590.65,-0.0004,0.0027,0.0009,0.9987
4,5696935442.88,-0.0007,0.0034,0.0005,0.9987
5,5700650179.3,-0.0004,0.0027,0.0009,0.9987
6,5704824033.23,0.0002,0.0019,0.0012,0.9986
7,5708633812.95,0.0001,0.0019,0.0014,0.9985
8,5724435993.5,-0.0008,0.0035,0.0005,0.9986
9,5728205139.18,-0.0008,0.0035,0.0005,0.9986
10,5732385407.44,-0.0001,0.0026,0.0008,0.9987
11,5736247753.91,-0.0001,0.0026,0.0008,0.9987
12,5741097261.09,-0.0001,0.0027,0.0007,0.9987
13,5744914541.6,-0.0004,0.003,0.0007,0.9987
14,5749189619.4,-0.0012,0.0043,0.0001,0.9986
15,5753100160.01,-0.0002,0.0027,0.0008,0.9986
16,5769604681.71,-0.0004,0.0032,0.0005,0.9987
17,5773455750.69,-0.0004,0.0032,0.0005,0.9987
18,5777737605.33,-0.0001,0.0023,0.0012,0.9985
19,5781687097.21,-0.0002,0.0028,0.0007,0.9986
20,5786660506.47,-0.0004,0.0031,0.0007,0.9986
21,5790567272.97,-0.0012,0.0044,0.0001,0.9987
22,5794943110.23,-0.0001,0.0023,0.0012,0.9985
23,5798939274.69,-0.0004,0.0031,0.0007,0.9986
24,5814961195.62,-0.0003,0.0028,0.0009,0.9985
25,5818923368.98,-0.0001,0.0024,0.0011,0.9985
26,5823305823.65,-0.0009,0.004,0.0003,0.9986
27,5827358921.14,-0.0001,0.0024,0.0011,0.9985
28,5832457826.06,-0.0004,0.0029,0.0009,0.9985
29,5836467437.01,-0.0009,0.004,0.0003,0.9986
30,5840947400.47,-0.0001,0.0024,0.0011,0.9985
31,5845053921.69,-0.0004,0.0028,0.001,0.9985
32,5858505170.97,-0.0004,0.0029,0.001,0.9985
33,5862540922.1,-0.0004,0.0029,0.0009,0.9985
34,5867024155.3,-0.0004,0.0029,0.001,0.9985
35,5871161010.97,0.0001,0.0021,0.0011,0.9985
36,5876385323.54,-0.0008,0.0036,0.0006,0.9985
37,5880471018.7,-0.0006,0.0034,0.0006,0.9985
38,5885053884.33,-0.0004,0.0029,0.001,0.9985
39,5889237452.52,0.0001,0.0021,0.0011,0.9985
40,5905330496.67,-0.0007,0.0037,0.0005,0.9985
41,5909473887.2,-0.0008,0.0036,0.0006,0.9985
42,5914066253.87,-0.0004,0.0031,0.0008,0.9985
43,5918312205.59,-0.0001,0.0025,0.0012,0.9984
44,5923668890.04,-0.0008,0.0036,0.0006,0.9985
45,5927865996,-0.0001,0.0025,0.0012,0.9984
46,5932557457.29,-0.0005,0.0034,0.0007,0.9985
47,5936855311.46,-0.0008,0.0036,0.0006,0.9985
48,5953868649.9,-0.0005,0.0033,0.0009,0.9984
49,5958116783.2,-0.0005,0.0034,0.0007,0.9986
50,5962824522.65,-0.0005,0.0034,0.0007,0.9986
51,5967169384.97,-0.0003,0.0028,0.0012,0.9984
52,5972677283.56,-0.0009,0.004,0.0005,0.9984
53,5976979610.95,-0.0005,0.0034,0.0007,0.9986
54,5981789781.78,-0.0005,0.0033,0.0008,0.9985
55,5986190329.85,-0.0005,0.0032,0.0009,0.9984
56,6002423688.51,-0.0008,0.0038,0.0007,0.9984
57,6006785194.04,-0.0004,0.0032,0.0008,0.9984
58,6011605064.95,-0.0004,0.0032,0.0008,0.9984
59,6016070948.9,-0.0004,0.0033,0.0006,0.9986
60,6021722750.46,-0.0003,0.0027,0.0013,0.9984
61,6026136492.23,-0.0006,0.0034,0.0009,0.9984
62,6031066774.16,-0.0006,0.0034,0.0009,0.9984
63,6035582498.48,-0.0008,0.0038,0.0006,0.9984
64,6015599972.47,-0.0001,0.0026,0.0013,0.9984
65,6019935212.68,-0.0001,0.0026,0.0012,0.9984
66,6024756639.38,-0.0001,0.0026,0.0012,0.9984
67,6029195900.05,-0.0007,0.0038,0.0006,0.9984
68,6034841601.71,-0.0007,0.0038,0.0006,0.9984
69,6039238222.86,-0.0012,0.0045,0.0003,0.9984
70,6044163625.27,-0.0007,0.0038,0.0006,0.9984
71,6048661954.31,-0.0007,0.0038,0.0006,0.9984
72,6066442164.43,-0.001,0.0044,0.0003,0.9984
73,6070901870.16,-0.001,0.0044,0.0003,0.9984
74,6075842884.59,-0.0007,0.0037,0.0007,0.9984
75,6080409610.21,-0.0007,0.0037,0.0007,0.9984
76,6086208381.14,-0.0007,0.0038,0.0007,0.9984
77,6090723674.81,-0.0002,0.0031,0.0009,0.9984
78,6095780561.12,-0.0002,0.0029,0.0011,0.9984
79,6100404436.51,-0.0002,0.0029,0.0011,0.9984
80,6118920271.85,-0.0008,0.0037,0.001,0.9983
81,6123491967.98,-0.0003,0.003,0.0012,0.9983
82,6128558957.83,-0.0009,0.0043,0.0004,0.9984
83,6133238868.6,-0.0009,0.0043,0.0004,0.9984
84,6139209390.48,-0.0008,0.0038,0.0009,0.9984
85,6143838100.29,-0.0006,0.0035,0.001,0.9983
86,6149025143.93,-0.0003,0.003,0.0012,0.9983
87,6153764136.8,-0.0006,0.0035,0.001,0.9983
88,6171709949.65,-0.0006,0.0035,0.001,0.9983
89,6176407591.88,-0.0006,0.0035,0.001,0.9983
90,6181608546.09,-0.0012,0.0049,0.0002,0.9985
91,6186417493.19,-0.0006,0.0035,0.001,0.9983
