CBANK,FREQ,P3,P2,P1,P0
0,6209181023.47947,-0.0005,0.0027,0.001,0.9986
1,6214752337.79757,-0.0005,0.0027,0.001,0.9986
2,6220338094.33878,-0.0005,0.0027,0.001,0.9986
3,6225939789.0751,-0.0005,0.0027,0.001,0.9986
4,6231555083.77446,-0.0005,0.0027,0.001,0.9986
5,6237187007.57077,-0.0005,0.0027,0.001,0.9986
6,6242832796.01431,-0.0005,0.0027,0.001,0.9985
7,6248496024.97105,-0.0005,0.0027,0.001,0.9985
8,6254496617.65475,-0.0005,0.0028,0.001,0.9985
9,6260191065.33886,-0.0005,0.0028,0.001,0.9985
10,6265900206.78749,-0.0005,0.0028,0.001,0.9985
11,6271625743.4599,-0.0005,0.0028,0.001,0.9985
12,6277365020.77318,-0.0005,0.0028,0.001,0.9985
13,6283122557.36307,-0.0005,0.0028,0.001,0.9985
14,6288894588.63591,-0.0005,0.0028,0.001,0.9985
15,6294683380.13842,-0.0005,0.0028,0.001,0.9985
16,6299577258.92702,-0.0005,0.0028,0.001,0.9985
17,6305395811.58867,-0.0005,0.0028,0.001,0.9985
18,6311229625.15572,-0.0005,0.0028,0.001,0.9985
19,6317080763.51773,-0.0005,0.0028,0.001,0.9985
20,6322945968.13648,-0.0005,0.0028,0.001,0.9985
21,6328829454.42793,-0.0005,0.0028,0.001,0.9985
22,6334728560.00294,-0.0005,0.0028,0.001,0.9985
23,6340645127.22514,-0.0005,0.0028,0.001,0.9985
24,6346926245.44079,-0.0005,0.0029,0.001,0.9985
25,6352877097.59692,-0.0005,0.0029,0.001,0.9985
26,6358843513.51208,-0.0005,0.0029,0.001,0.9985
27,6364827681.64295,-0.0005,0.0029,0.001,0.9985
28,6370827288.49062,-0.0005,0.0029,0.001,0.9985
29,6376845373.9622,-0.0005,0.0029,0.001,0.9985
30,6382879547.28444,-0.0005,0.0029,0.001,0.9985
31,6388931952.2512,-0.0005,0.0029,0.001,0.9985
32,6394043425.91264,-0.0005,0.0029,0.001,0.9985
33,6400129933.48473,-0.0005,0.0029,0.001,0.9985
34,6406228446.52154,-0.0005,0.0029,0.001,0.9984
35,6412347834.92844,-0.0005,0.0029,0.001,0.9984
36,6418481595.91766,-0.0005,0.0029,0.001,0.9984
37,6424636814.36419,-0.0005,0.0029,0.001,0.9984
38,6430807726.99998,-0.0005,0.0029,0.001,0.9984
39,6436997406.79472,-0.0005,0.003,0.001,0.9984
40,6443581950.60086,-0.0005,0.003,0.0011,0.9984
41,6449808888.33359,-0.0005,0.003,0.0011,0.9984
42,6456052536.11484,-0.0005,0.003,0.0011,0.9984
43,6462315512.77363,-0.0005,0.003,0.0011,0.9984
44,6468595158.57081,-0.0005,0.003,0.0011,0.9984
45,6474894574.74931,-0.0006,0.003,0.0011,0.9984
46,6481211407.65996,-0.0006,0.003,0.0011,0.9984
47,6487547830.48831,-0.0006,0.003,0.0011,0.9984
48,6492877874.54494,-0.0006,0.003,0.0011,0.9984
49,6499249407.22398,-0.0006,0.003,0.0011,0.9984
50,6505637938.67943,-0.0006,0.003,0.0011,0.9984
51,6512046527.71748,-0.0006,0.003,0.0011,0.9984
52,6518471725.96535,-0.0006,0.003,0.0011,0.9984
53,6524917847.83666,-0.0006,0.0031,0.0011,0.9984
54,6531382764.64741,-0.0006,0.0031,0.0011,0.9984
55,6537867786.32114,-0.0006,0.0031,0.0011,0.9984
56,6544781426.31661,-0.0006,0.0031,0.0011,0.9984
57,6551306549.17677,-0.0006,0.0031,0.0011,0.9984
58,6557849706.16146,-0.0006,0.0031,0.0011,0.9983
59,6564413111.65352,-0.0006,0.0031,0.0011,0.9983
60,6570996033.20667,-0.0006,0.0031,0.0011,0.9983
61,6577599635.13896,-0.0006,0.0031,0.0011,0.9983
62,6584222067.14074,-0.0006,0.0032,0.0011,0.9983
63,6590865659.307,-0.0006,0.0032,0.0011,0.9983
64,6596441351.69639,-0.0006,0.0031,0.0011,0.9983
65,6603122042.33863,-0.0006,0.0031,0.0011,0.9983
66,6609821043.55892,-0.0006,0.0031,0.0011,0.9983
67,6616543351.6111,-0.0006,0.0032,0.0011,0.9983
68,6623282040.24359,-0.0006,0.0032,0.0011,0.9983
69,6630044611.79614,-0.0006,0.0032,0.0011,0.9983
70,6636827521.8776,-0.0006,0.0032,0.0011,0.9983
71,6643630969.96055,-0.0006,0.0032,0.0011,0.9983
72,6650902779.25312,-0.0006,0.0032,0.0012,0.9983
73,6657750415.33427,-0.0006,0.0032,0.0012,0.9983
74,6664618040.05213,-0.0006,0.0032,0.0012,0.9983
75,6671508203.50554,-0.0006,0.0033,0.0012,0.9983
76,6678417510.57314,-0.0006,0.0033,0.0012,0.9983
77,6685350674.87811,-0.0006,0.0033,0.0012,0.9983
78,6692303911.55811,-0.0006,0.0033,0.0012,0.9983
79,6699280342.14917,-0.0006,0.0033,0.0012,0.9983
80,6705106534.41553,-0.0006,0.0033,0.0012,0.9983
81,6712124286.6809,-0.0006,0.0033,0.0012,0.9983
82,6719161167.45364,-0.0006,0.0033,0.0012,0.9983
83,6726221969.51992,-0.0006,0.0033,0.0012,0.9983
84,6733302357.59094,-0.0006,0.0033,0.0012,0.9982
85,6740407815.89005,-0.0006,0.0033,0.0012,0.9982
86,6747533956.88044,-0.0006,0.0033,0.0012,0.9982
87,6754684877.71272,-0.0006,0.0033,0.0012,0.9982
88,6762346035.66752,-0.0006,0.0034,0.0012,0.9982
89,6769544069.0254,-0.0006,0.0034,0.0012,0.9982
90,6776763430.01392,-0.0006,0.0034,0.0012,0.9982
91,6784007657.84059,-0.0007,0.0034,0.0012,0.9982
92,6791272752.10868,-0.0007,0.0034,0.0012,0.9982
93,6798563280.53896,-0.0007,0.0034,0.0012,0.9982
94,6805876138.96508,-0.0007,0.0034,0.0012,0.9982
95,6813214123.91558,-0.0007,0.0034,0.0012,0.9982
96,6819326053.41776,-0.0007,0.0034,0.0012,0.9982
97,6826705150.66743,-0.0007,0.0034,0.0012,0.9982
98,6834108581.17544,-0.0007,0.0034,0.0012,0.9982
99,6841538340.75315,-0.0007,0.0034,0.0012,0.9982
100,6848988976.43392,-0.0007,0.0034,0.0012,0.9982
101,6856467108.64072,-0.0007,0.0034,0.0012,0.9982
102,6863967757.80639,-0.0007,0.0034,0.0013,0.9982
103,6871495254.75767,-0.0007,0.0035,0.0013,0.9982
104,6879582427.44417,-0.0007,0.0035,0.0013,0.9981
105,6887161645.04878,-0.0007,0.0035,0.0013,0.9981
106,6894763917.28171,-0.0007,0.0035,0.0013,0.9981
107,6902393339.33282,-0.0007,0.0035,0.0013,0.9981
108,6910044308.98612,-0.0007,0.0035,0.0013,0.9981
109,6917725758.22745,-0.0007,0.0036,0.0013,0.9981
110,6925429931.7951,-0.0007,0.0036,0.0013,0.9981
111,6933161406.45211,-0.0007,0.0036,0.0013,0.9981
112,6939554858.87399,-0.0007,0.0035,0.0013,0.9981
113,6947333880.47478,-0.0007,0.0035,0.0013,0.9981
114,6955136792.32598,-0.0007,0.0036,0.0013,0.9981
115,6962968240.35257,-0.0007,0.0036,0.0013,0.9981
116,6970822889.44465,-0.0007,0.0036,0.0013,0.9981
117,6978707453.43219,-0.0007,0.0036,0.0013,0.9981
118,6986616606.62399,-0.0007,0.0036,0.0013,0.9981
119,6994554704.19267,-0.0007,0.0036,0.0013,0.9981
120,7003110071.41575,-0.0007,0.0037,0.0013,0.9981
121,7011105179.17898,-0.0007,0.0037,0.0013,0.9981
122,7019125489.65939,-0.0007,0.0037,0.0013,0.998
123,7027175400.86953,-0.0007,0.0037,0.0013,0.998
124,7035250253.82858,-0.0007,0.0037,0.0013,0.998
125,7043355678.81405,-0.0007,0.0037,0.0013,0.998
126,7051487223.04868,-0.0007,0.0037,0.0013,0.998
127,7059647687.70932,-0.0007,0.0037,0.0013,0.998
128,7066344252.68241,-0.0007,0.0037,0.0014,0.998
129,7074557174.77057,-0.0007,0.0037,0.0014,0.998
130,7082796472.25928,-0.0007,0.0037,0.0014,0.998
131,7091067088.33358,-0.0007,0.0037,0.0014,0.998
132,7099363114.21204,-0.0007,0.0037,0.0014,0.998
133,7107691954.96891,-0.0007,0.0037,0.0014,0.998
134,7116047620.09375,-0.0007,0.0037,0.0014,0.998
135,7124435337.8638,-0.0007,0.0038,0.0014,0.998
136,7133505282.1446,-0.0008,0.0038,0.0014,0.998
137,7141955357.1471,-0.0008,0.0038,0.0014,0.998
138,7150432896.67139,-0.0008,0.0038,0.0014,0.998
139,7158943205.37221,-0.0008,0.0039,0.0014,0.998
140,7167481214.89913,-0.0008,0.0039,0.0014,0.998
141,7176052362.02282,-0.0008,0.0039,0.0014,0.9979
142,7184652194.67474,-0.0008,0.0039,0.0014,0.9979
143,7193285055.19076,-0.0008,0.0039,0.0014,0.9979
144,7200322215.55954,-0.0008,0.0039,0.0014,0.9979
145,7209011449.29313,-0.0008,0.0039,0.0014,0.9979
146,7217728839.62747,-0.0008,0.0039,0.0014,0.9979
147,7226481247.33955,-0.0008,0.0039,0.0014,0.9979
148,7235261707.26853,-0.0008,0.0039,0.0014,0.9979
149,7244077928.36872,-0.0008,0.0039,0.0015,0.9979
150,7252923836.45998,-0.0008,0.0039,0.0015,0.9979
151,7261804421.71719,-0.0008,0.0039,0.0015,0.9979
152,7271443493.154,-0.0008,0.004,0.0015,0.9979
153,7280393250.52117,-0.0008,0.004,0.0015,0.9979
154,7289373492.90848,-0.0008,0.004,0.0015,0.9979
155,7298389516.52228,-0.0008,0.004,0.0015,0.9979
156,7307436186.39973,-0.0008,0.004,0.0015,0.9979
157,7316519046.91421,-0.0008,0.0041,0.0015,0.9978
158,7325634148.36701,-0.0008,0.0041,0.0015,0.9978
159,7334784886.30572,-0.0008,0.0041,0.0015,0.9978
160,7342189428.39087,-0.0008,0.004,0.0015,0.9978
161,7351402060.16278,-0.0008,0.004,0.0015,0.9978
162,7360646050.19398,-0.0008,0.004,0.0015,0.9978
163,7369928087.54626,-0.0008,0.0041,0.0015,0.9978
164,7379241890.50928,-0.0008,0.0041,0.0015,0.9978
165,7388594577.40327,-0.0009,0.0041,0.0015,0.9978
166,7397979593.41969,-0.0009,0.0041,0.0015,0.9978
167,7407403974.08768,-0.0009,0.0041,0.0015,0.9978
168,7417671720.25378,-0.0009,0.0042,0.0016,0.9978
169,7427172002.83443,-0.0009,0.0042,0.0016,0.9978
170,7436705695.50274,-0.0009,0.0042,0.0016,0.9978
171,7446279143.99504,-0.0009,0.0042,0.0016,0.9978
172,7455887080.06246,-0.0009,0.0042,0.0016,0.9977
173,7465534601.42851,-0.0009,0.0042,0.0016,0.9977
174,7475216957.49202,-0.0009,0.0043,0.0016,0.9977
175,7484940084.9006,-0.0009,0.0043,0.0016,0.9977
176,7492717180.04235,-0.0009,0.0042,0.0016,0.9977
177,7502507678.85814,-0.0009,0.0042,0.0016,0.9977
178,7512332794.08459,-0.0009,0.0042,0.0016,0.9977
179,7522200012.23042,-0.0009,0.0043,0.0016,0.9977
180,7532103583.00977,-0.0009,0.0043,0.0016,0.9977
181,7542048877.8451,-0.0009,0.0043,0.0016,0.9977
182,7552030315.01822,-0.0009,0.0043,0.0016,0.9977
183,7562054993.55094,-0.0009,0.0043,0.0016,0.9977
184,7573023020.69127,-0.001,0.0044,0.0016,0.9977
185,7583132421.13842,-0.001,0.0044,0.0017,0.9976
186,7593278873.47378,-0.001,0.0044,0.0017,0.9976
187,7603468955.09036,-0.001,0.0044,0.0017,0.9976
188,7613698291.23563,-0.001,0.0044,0.0017,0.9976
189,7623971197.80942,-0.001,0.0045,0.0017,0.9976
