CBANK,FREQ,P3,P2,P1,P0
0,5796000000,-0.0005,0.0031,0.0005,0.9987
1,5800000000,-0.0005,0.0031,0.0005,0.9987
2,5804000000,-0.0004,0.0027,0.0009,0.9987
3,5808000000,-0.0004,0.0027,0.0009,0.9987
4,5813000000,-0.0007,0.0034,0.0005,0.9987
5,5817000000,-0.0004,0.0027,0.0009,0.9987
6,5821000000,0.0002,0.0019,0.0012,0.9986
7,5826000000,0.0001,0.0019,0.0014,0.9985
8,5841000000,-0.0008,0.0035,0.0005,0.9986
9,5845000000,-0.0008,0.0035,0.0005,0.9986
10,5849000000,-0.0001,0.0026,0.0008,0.9987
11,5853000000,-0.0001,0.0026,0.0008,0.9987
12,5858000000,-0.0001,0.0027,0.0007,0.9987
13,5862000000,-0.0004,0.003,0.0007,0.9987
14,5867000000,-0.0012,0.0043,0.0001,0.9986
15,5871000000,-0.0002,0.0027,0.0008,0.9986
16,5886000000,-0.0004,0.0032,0.0005,0.9987
17,5890000000,-0.0004,0.0032,0.0005,0.9987
18,5895000000,-0.0001,0.0023,0.0012,0.9985
19,5899000000,-0.0002,0.0028,0.0007,0.9986
20,5904000000,-0.0004,0.0031,0.0007,0.9986
21,5908000000,-0.0012,0.0044,0.0001,0.9987
22,5913000000,-0.0001,0.0023,0.0012,0.9985
23,5917000000,-0.0004,0.0031,0.0007,0.9986
24,5933000000,-0.0003,0.0028,0.0009,0.9985
25,5937000000,-0.0001,0.0024,0.0011,0.9985
26,5941000000,-0.0009,0.004,0.0003,0.9986
27,5946000000,-0.0001,0.0024,0.0011,0.9985
28,5951000000,-0.0004,0.0029,0.0009,0.9985
29,5955000000,-0.0009,0.004,0.0003,0.9986
30,5960000000,-0.0001,0.0024,0.0011,0.9985
31,5964000000,-0.0004,0.0028,0.001,0.9985
32,5978000000,-0.0004,0.0029,0.001,0.9985
33,5983000000,-0.0004,0.0029,0.0009,0.9985
34,5987000000,-0.0004,0.0029,0.001,0.9985
35,5992000000,0.0001,0.0021,0.0011,0.9985
36,5997000000,-0.0008,0.0036,0.0006,0.9985
37,6002000000,-0.0006,0.0034,0.0006,0.9985
38,6006000000,-0.0004,0.0029,0.001,0.9985
39,6011000000,0.0001,0.0021,0.0011,0.9985
40,6027000000,-0.0007,0.0037,0.0005,0.9985
41,6031000000,-0.0008,0.0036,0.0006,0.9985
42,6036000000,-0.0004,0.0031,0.0008,0.9985
43,6041000000,-0.0001,0.0025,0.0012,0.9984
44,6046000000,-0.0008,0.0036,0.0006,0.9985
45,6051000000,-0.0001,0.0025,0.0012,0.9984
46,6055000000,-0.0005,0.0034,0.0007,0.9985
47,6060000000,-0.0008,0.0036,0.0006,0.9985
48,6076000000,-0.0005,0.0033,0.0009,0.9984
49,6080000000,-0.0005,0.0034,0.0007,0.9986
50,6085000000,-0.0005,0.0034,0.0007,0.9986
51,6090000000,-0.0003,0.0028,0.0012,0.9984
52,6096000000,-0.0009,0.004,0.0005,0.9984
53,6100000000,-0.0005,0.0034,0.0007,0.9986
54,6105000000,-0.0005,0.0033,0.0008,0.9985
55,6110000000,-0.0005,0.0032,0.0009,0.9984
56,6126000000,-0.0008,0.0038,0.0007,0.9984
57,6131000000,-0.0004,0.0032,0.0008,0.9984
58,6136000000,-0.0004,0.0032,0.0008,0.9984
59,6140000000,-0.0004,0.0033,0.0006,0.9986
60,6146000000,-0.0003,0.0027,0.0013,0.9984
61,6151000000,-0.0006,0.0034,0.0009,0.9984
62,6156000000,-0.0006,0.0034,0.0009,0.9984
63,6161000000,-0.0008,0.0038,0.0006,0.9984
64,6162000000,-0.0001,0.0026,0.0013,0.9984
65,6167000000,-0.0001,0.0026,0.0012,0.9984
66,6172000000,-0.0001,0.0026,0.0012,0.9984
67,6177000000,-0.0007,0.0038,0.0006,0.9984
68,6183000000,-0.0007,0.0038,0.0006,0.9984
69,6188000000,-0.0012,0.0045,0.0003,0.9984
70,6193000000,-0.0007,0.0038,0.0006,0.9984
71,6198000000,-0.0007,0.0038,0.0006,0.9984
72,6215000000,-0.001,0.0044,0.0003,0.9984
73,6220000000,-0.001,0.0044,0.0003,0.9984
74,6225000000,-0.0007,0.0037,0.0007,0.9984
75,6230000000,-0.0007,0.0037,0.0007,0.9984
76,6236000000,-0.0007,0.0038,0.0007,0.9984
77,6241000000,-0.0002,0.0031,0.0009,0.9984
78,6246000000,-0.0002,0.0029,0.0011,0.9984
79,6251000000,-0.0002,0.0029,0.0011,0.9984
80,6269000000,-0.0008,0.0037,0.001,0.9983
81,6274000000,-0.0003,0.003,0.0012,0.9983
82,6279000000,-0.0009,0.0043,0.0004,0.9984
83,6284000000,-0.0009,0.0043,0.0004,0.9984
84,6290000000,-0.0008,0.0038,0.0009,0.9984
85,6296000000,-0.0006,0.0035,0.001,0.9983
86,6301000000,-0.0003,0.003,0.0012,0.9983
87,6306000000,-0.0006,0.0035,0.001,0.9983
88,6324000000,-0.0006,0.0035,0.001,0.9983
89,6329000000,-0.0006,0.0035,0.001,0.9983
90,6334000000,-0.0012,0.0049,0.0002,0.9985
91,6340000000,-0.0006,0.0035,0.001,0.9983
